Country,ISO3,Year,y_true,y_pred,Residual,Cooks_D
Iraq,IRQ,2021,71.5,72.01463993327415,-0.5146399332741538,0.0007277231742606427
Australia,AUS,2019,82.6,82.16933730158726,0.43066269841273197,0.0007248482863955155
Burundi,BDI,2018,64.0,64.33404638047155,-0.33404638047154833,0.000714855178948623
China,CHN,2019,77.3,76.84329253246766,0.4567074675323397,0.0007135846470691899
Finland,FIN,2018,81.4,81.1115294154858,0.2884705845142008,0.0007134628475051572
Equatorial Guinea,GNQ,2020,61.2,61.24496260683771,-0.04496260683770714,0.0007125563467262192
Afghanistan,AFG,2020,60.5,60.80946431623922,-0.30946431623922166,0.0007103478776612087
Australia,AUS,2020,82.8,82.3930973063974,0.40690269360260345,0.0007053906070485053
France,FRA,2021,81.9,81.74994444444461,0.1500555555553973,0.0007035166088877323
Bhutan,BTN,2021,74.9,73.83084378312317,1.0691562168768343,0.0007019133992419913
"Micronesia, Federated States of",FSM,2020,65.7,65.55739962722481,0.14260037277519189,0.0007013827548013155
Equatorial Guinea,GNQ,2018,61.4,61.15953607503617,0.24046392496382651,0.0006954339738760963
Honduras,HND,2020,70.3,71.6052431343166,-1.3052431343165978,0.0006951624663859323
Timor-Leste,TLS,2018,68.4,68.38389646464664,0.016103535353366283,0.0006947318821233518
Panama,PAN,2019,79.0,78.39124875598253,0.6087512440174692,0.0006925450464544707
Benin,BEN,2020,64.4,64.84266666666657,-0.4426666666665682,0.0006903316553659363
Cambodia,KHM,2021,68.9,69.0141127946129,-0.11411279461289325,0.0006876198421886615
Lebanon,LBN,2018,79.4,78.86583333333331,0.5341666666666924,0.0006869201211102301
France,FRA,2020,81.9,81.69901801346819,0.20098198653181498,0.0006837052791906615
Uzbekistan,UZB,2018,71.5,72.79248302944889,-1.2924830294488885,0.000676612971385815
